"","Title","Author","Year","Abstract"
"106","A two dimensional electrophoresis database of a human Jurkat T-cell line.","Thiede, Siejak, Dimmler, Jungblut, Rudel","2000","About 2000 protein spots of human Jurkat T-cells were detected by high resolution two-dimensional gel electrophoresis (2-DE) and were characterized in terms of their isoelectric point and molecular mass. A 2-DE database was constructed and is available at http://www.mpiib-berlin.mpg.de/2D-PAGE/. At present the database contains 67 identified protein spots. These proteins were identified after tryptic digestion by peptide mass fingerprinting with delayed extraction-matrix assisted laser desorption/ionization-mass spectrometry (DE-MALDI-MS). Proteins with a sequence coverage of at least 30% were introduced in the database. This sequence coverage could not always be obtained by using only the matrix alpha-cyano-4-hydroxycinnamic acid (CHCA) for the mass analysis. Therefore, an additional mass spectrum was recorded by using 2,5-dihydroxybenzoic acid (DHB). Usually, additional mass peaks were detected and together with the mass spectrum of CHCA this resulted in the desired sequence coverage."
"107","Effects of selenium deficiency on the rat myocardial protein pattern-- investigation by two-dimensional gel electrophoresis.","Regitz-Zagrosek, Kyriakopoulos, Pleissner, Jungblut, Fleck, Behne","2000","Dietary selenium deficiency represents an etiological factor in ""Keshan disease"", a distinct form of an endemic cardiomyopathy. The biochemical effects of selenium depletion in the myocardium are, however, not yet known. Therefore, we investigated the changes in the myocardial protein pattern in rats after long-term selenium deficiency. The myocardial proteins were analyzed in samples from five selenium-depleted rats (Se-deficient group) and five rats supplied with adequate amounts of the element (Se-adequate group). Isoelectric focusing (IEF) with carrier ampholytes on large 2-DE gels was used for the separation of proteins in the first dimension and sodium dodecyl sulfate-polyacrylamide gel electrophoresis (SDS-PAGE) for the second dimension. The protein patterns were evaluated by means of a computer-assisted gel analysis system. The biochemical identification of the proteins of interest was achieved by matrix-assisted laser desorption/ionization mass spectrometry (MALDI) or immunoblotting. On average, 588 +/- 68 protein spots were found on the gels. No significant difference in spot numbers existed between the groups. A pattern of 270 spots with identical positions was found on every gel; 247 of these spots were not saturated and used for quantitative comparison. Thirty-five, i.e., 14 %, differed significantly in their relative intensity in the two groups. Twenty-eight protein spots were decreased in the Se-deficient group and seven were increased. Sarcomeric creatine kinase M chain, alpha-myosin heavy chain (alpha-MHC) and myosin light chain 1 and 2 (MLC 1 and 2) were largely decreased in Se-deficiency. Three protein spots were increased by more than twofold or appeared only in the Se-deficient group. A mitochondrial creatine kinase was identified in this group. The results suggest that selenium deficiency affects myocardial energy metabolism and contractile proteins. These changes probably reflect non-specific alterations in heart failure."
"108","Comparative proteome analysis of Helicobacter pylori.","Jungblut, Bumann, Haas, Zimny-Arndt, Holland, Lamer, Siejak, Aebischer, Meyer","2000","Helicobacter pylori, the causative agent of gastritis, ulcer and stomach carcinoma, infects approximately half of the worlds population. After sequencing the complete genome of two strains, 26695 and J99, we have approached the demanding task of investigating the functional part of the genetic information containing macromolecules, the proteome. The proteins of three strains of H. pylori, 26695 and J99, and a prominent strain used in animal models SS1, were separated by a high-resolution two-dimensional electrophoresis technique with a resolution power of 5000 protein spots. Up to 1800 protein species were separated from H. pylori which had been cultivated for 5 days on agar plates. Using matrix-assisted laser desorption/ionization mass spectrometry (MALDI-MS) peptide mass fingerprinting we have identified 152 proteins, including nine known virulence factors and 28 antigens. The three strains investigated had only a few protein spots in common. We observe that proteins with an amino acid exchange resulting in a net change of only one charge are shifted in the two-dimensional electrophoresis (2-DE) pattern. The expression of 27 predicted conserved hypothetical open reading frames (ORFs) and six unknown ORFs were confirmed. The growth conditions of the bacteria were shown to have an effect on the presence of certain proteins. A preliminary immunoblotting study using human sera revealed that this approach is ideal for identifying proteins of diagnostic or therapeutic value. H. pylori 2-DE patterns with their identified protein species were added to the dynamic 2D-PAGE database (http://www.mpiib-berlin.mpg.de/2D-PAGE/). This basic knowledge of the proteome in the public domain will be an effective instrument for the identification of new virulence or pathogenic factors, and antigens of potentially diagnostic or curative value against H. pylori."
"109","Analysis of missed cleavage sites, tryptophan oxidation and N-terminal pyroglutamylation after in-gel tryptic digestion.","Thiede, Lamer, Mattow, Siejak, Dimmler, Rudel, Jungblut","2000","Peptide mass fingerprinting is a powerful tool for the identification of proteins. Trypsin is the most widely used enzyme for this purpose. Therefore, 104 protein digests from human Jurkat T cells and Mycobacterium were analyzed considering missed cleavage sites, tryptophan oxidation and N-terminal pyroglutamylation. About 90% of the matched peptides with missed cleavage sites could be classified into three groups: (i) lysine and arginine with a neighbouring proline on the carboxy-terminal side, (ii) neighboring lysines/arginines, and (iii) lysines and arginines with an aspartic acid or glutamic acid residue on either the amino- or carboxy-terminal side. The first group is already accounted for by search programs. The number of missed cleavage sites can be increased without reducing the precision of the database search by taking the other two groups into consideration. Peptides with tryptophan were observed in non, singly (+16 Da) and doubly (+32 Da) oxidized forms. The higher oxidized form was only observed with lower intensity in the presence of the lower oxidized form. Peptides with N-terminal glutamine were found always as pyroglutamate (-17 Da), and in the majority of cases in pairs with unmodified glutamine. These data can be used for the refinement of protein searches by peptide mass fingerprinting."
"110","Protein abundance alterations in matched sets of macroscopically normal colon mucosa and colorectal carcinoma.","Stulík, Koupilova, Osterreicher, Knízek, Macela, Bures, Jandík, Langr, Dedic, Jungblut","1999","Our current results, aimed at the detection of protein abundance alterations that could be associated with the process of colon tumorigenesis, are summarized. The matched sets of macroscopically normal colon mucosa and colorectal carcinoma were examined by a one- or two-dimensional electrophoretic approach and proteins were identified using immunoblotting or mass spectrometry. The following results were observed: The levels of liver fatty acid-binding protein, actin-binding protein/smooth muscle protein 22-alpha and cyclooxygenase 2 were downregulated in colorectal carcinoma compared to normal colon mucosa. Conversely, the expression of a novel variant of heat shock protein70 and several members of the S100 protein family of calcium-binding proteins (two isoforms of S100A9, S100A8, S100A11 and S100A6) were upregulated in transformed colon mucosa. Despite the variations of the levels of expression of given protein among analyzed samples, all quantitative changes were found to be statistically significant (Mann-Whitney test assuming p < or = 0.05). We conclude that the proteomic approach is useful for the study of complex biological events underlying the process of colorectal tumorigenesis."
"111","Comparison of two-dimensional electrophoresis patterns of heat shock protein Hsp27 species in normal and cardiomyopathic hearts.","Scheler, Li, Salnikow, Dunn, Jungblut","1999","Heat shock protein Hsp27 occurs in a complex pattern in human myocardial tissue. Normal and failing explanted human heart from patients with dilated cardiomyopathy (DCM) or ischemic heart failure (IHF), respectively, were analyzed by high resolution two-dimensional electrophoresis (23x30 cm) and Hsp27 immunostaining. Twelve Hsp27 spots in DCM samples were significantly altered in intensity and ten of these were significantly changed in IHF. Four spots (h1, h2, h4, h5) in DCM samples and three spots (h2, h4, h5) in IHF at a molecular mass of 28 kDa were decreased in intensity. In this study, investigating left ventricles of human myocardium, spot h4 was only detected in normal heart samples. On the other hand, spots with a lower molecular mass of 27 kDa (h14, h15, h17, h20, h21) and 22-23 kDa (46, h47, h50) increased in intensity in failing hearts, suggesting that some form of Hsp27 degradation occurs during heart failure."
"112","Comprehensive detection of immunorelevant Borrelia garinii antigens by two-dimensional electrophoresis.","Jungblut, Grabher, Stöffler","1999","Lyme disease is caused by spirochetes of the Borrelia burgdofferi complex and has been reported in many temperate parts of the Northern Hemisphere. The B. burgdorferi complex consists of at least five different species and five genotypes with different pathogenicity. Serodiagnosis was achieved by detection of antigens on one-dimensional (1-D) immunoblots. A systematic and comprehensive approach to elucidate antigens has been started here by the combination of two-dimensional electrophoresis (2-DE) immunoblotting with matrix-assisted laser desorption/ionization mass spectrometry (MALDI-MS). Antigens in the proteome of B. garinii BITS were analyzed for their reactivity with sera from patients in early stage (erythema migrans) and late manifestations (neuroborreliosis late, arthritis and acrodermatitis chronica athrophicans) of borreliosis. A strategy to handle the enormous amount of data was developed and 65 antigens were detected, of which 20 were identified. These comprise the known antigens from 1-D immunoblots used routinely in serodiagnosis and additionally the two new antigens, GAPDH and the ABC transporter oligopeptide permease. Several disease-stage unique proteins were detected and some of them identified. The genetic variability between B. garinii strains BITS and 20047, B. afzelii, and B. burgdofferi, sensu stricto, seen on the 2-DE patterns underlines the necessity of the search for additional antigens to improve the serodiagnosis and development of vaccines to be used outside of Northern America. A 2-DE database of B. garinii was built up and is available on the World Wide Web (http://www.mpiib-berlin.mpg.de/2D-PAGE)."
"113","Studies on a local effect of boar seminal plasma on ovulation time in gilts.","Waberski, Kremer, Borchardt Neto, Jungblut, Kallweit, Weitze","1999","Previous studies showed that intrauterine infusion of seminal plasma at the onset of oestrus could advance ovulation in pigs, possibly to enhance the chances of fertilization by optimizing the chronological events of fertilization. This effect has been attributed to a local unilateral mechanism whereby infusion into a single uterine horn advances ovulation in the adjacent ovary. The present study was designed to elucidate possible mechanisms of local signal transduction. In a series of five experiments using 43 gilts, the ovarian response was investigated after infusion of seminal plasma at different sites of the female reproductive tract. The time of ovulation was detected sonographically at 4- or 2-h intervals. Single uterine horn infusion of 100 ml seminal plasma advanced ovulation on the ipsilateral ovary by 9.3 h (mean) compared with the contralateral ovary. Dissection of the ipsilateral isthmus abolished the unilateral seminal plasma effect. Unilateral infusion of 50 microliters or 1 ml seminal plasma or 50 microliters of the concentrated 1-10 kDa fraction in the lower isthmus was ineffective. Application of 5 ml seminal plasma into the tip of a ligated uterine horn lead to 3.6 h (mean) earlier ovulation on the adjacent ovary. In contrast, the infusion of 5 ml NaCl showed no effect. Application of 5 ml seminal plasma in the middle of the uterine horn between two ligatures was ineffective. It is concluded that, for the transduction of the local signal involved in the advancement of ovulation, contact of seminal plasma with the epithelium of the utero-tubal junction is essential."
"114","The dominance of arginine-containing peptides in MALDI-derived tryptic mass fingerprints of proteins.","Krause, Wenschuh, Jungblut","1999","Matrix-assisted laser desorption/ionization mass spectrometry (MALDI-MS) is a powerful tool for mass finger-printing of peptide mixtures obtained after enzymatic ingel digestion of proteins separated by two-dimensional electrophoresis (2-DE). In the course of a proteome analysis of mycobacteria using mass spectrometric identification, it was found that 94% of the most intense MALDI-MS peaks denote peptides bearing arginine at the C-terminal end. The effect was demonstrated to be equally prominent using an equimolar mixture of the synthetic peptides known to be present in the tryptic digest of the mycobacterial 35 kDa antigen (""synthetic mass map""). In addition, several binary mixtures of synthetic peptides differing exclusively at the C terminus (Arg or Lys) were examined to rationalize the higher sensitivity toward arginine-containing peptides. The extent of the effect described depends on the matrix used and may facilitate a more reliable assignment of mass fingerprint data to protein sequences in databases."
"115","Comparative proteome analysis of Mycobacterium tuberculosis and Mycobacterium bovis BCG strains: towards functional genomics of microbial pathogens.","Jungblut, Schaible, Mollenkopf, Zimny-Arndt, Raupach, Mattow, Halada, Lamer, Hagens, Kaufmann","1999","In 1993, the WHO declared tuberculosis a global emergency on the basis that there are 8 million new cases per year. The complete genome of the strain H37Rv of the causative microorganism, Mycobacterium tuberculosis, comprising 3924 genes has been sequenced. We compared the proteomes of two non-virulent vaccine strains of M. bovis BCG (Chicago and Copenhagen) with two virulent strains of M. tuberculosis (H37Rv and Erdman) to identify protein candidates of value for the development of vaccines, diagnostics and therapeutics. The mycobacterial strains were analysed by two-dimensional electrophoresis (2-DE) combining non-equilibrium pH gradient electrophoresis (NEPHGE) with SDS-PAGE. Distinct and characteristic proteins were identified by mass spectrometry and introduced into a dynamic 2-DE database (http://www.mpiib-berlin.mpg.de/2D-PAGE). Silver-stained 2-DE patterns of mycobacterial cell proteins or culture supernatants contained 1800 or 800 spots, respectively, from which 263 were identified. Of these, 54 belong to the culture supernatant. Sixteen and 25 proteins differing in intensity or position between M. tuberculosis H37Rv and Erdman, and H37Rv and M. bovis BCG Chicago, respectively, were identified and categorized into protein classes. It is to be hoped that the availability of the mycobacterial proteome will facilitate the design of novel measures for prevention and therapy of one of the great health threats, tuberculosis."
"116","A dynamic two-dimensional polyacrylamide gel electrophoresis database: the mycobacterial proteome via Internet.","Mollenkopf, Jungblut, Raupach, Mattow, Lamer, Zimny-Arndt, Schaible, Kaufmann","1999","Proteome analysis by two-dimensional polyacrylamide gel electrophoresis (2-D PAGE) and mass spectrometry, in combination with protein chemical methods, is a powerful approach for the analysis of the protein composition of complex biological samples. Data organization is imperative for efficient handling of the vast amount of information generated. Thus we have constructed a 2-D PAGE database to store and compare protein patterns of cell-associated and culture-supernatant proteins of different mycobacterial strains. In accordance with the guidelines for federated 2-DE databases, we developed a program that generates a dynamic 2-D PAGE database for the World-Wide-Web to organise and publish, via the internet, our results from proteome analysis of different Mycobacterium tuberculosis as well as Mycobacterium bovis BCG strains. The uniform resource locator for the database is http://www.mpiib-berlin.mpg.de/2D-PAGE and can be read with a Java compatible browser. The interactive hypertext markup language documents displayed are generated dynamically in each individual session from a rational data file, a 2-D gel image file and a map file describing the protein spots as polygons. The program consists of common gateway interface scripts written in PERL, minimizing the administrative workload of the database. Furthermore, the database facilitates not only interactive use, but also worldwide active participation of other scientific groups with their own data, requiring only minimal computer hardware and knowledge of information technology."
"117","Toxoplasma gondii infection: analysis of serological response by 2-DE immunoblotting.","Geissler, Sokolowska-Köhler, Bollmann, Jungblut, Presber","1999","Toxoplasma gondii is known to cause a variety of diseases ranging from asymptomatic infections to serious conditions in immunocompromised hosts such as AIDS-patients or transplant recipients. In addition they may cause abortion or fetal abnormalities during pregnancy. Despite the clinical importance, diagnosis, treatment and prevention still remain unsatisfactory. Analysis of the parasitic cell determinants, recognized by specific humoral and cellular immune responses, may have important implications for diagnosis, therapy and vaccination strategies. Two-dimensional electrophoresis (2-DE) was used to resolve and compare protein patterns from Toxoplasma gondii strains RH and BK (mouse virulent strains). Comparison of silver-stained gels showed that 35.2% to 60.3% of the spots had the same position. In a second series of experiments, the reactivity of the spots with human sera was tested. Proteins were transferred to PVDF membranes and were detected with sera from different patient groups. Depending upon the immunoglobulin class (IgG, IgM, IgA or IgE) different epitope patterns were observed. Some of the spots seemed to be recognized in different stages of infection. Sera of two patients with similar serology and comparable stage of infection were compared in order to demonstrate an individual immune response."
"118","Proteomics in human disease: cancer, heart and infectious diseases.","Jungblut, Zimny-Arndt, Zeindl-Eberhart, Stulik, Koupilova, Pleissner, Otto, Müller, Sokolowska-Köhler, Grabher, Stöffler","1999","In recent years, genomics has increased the understanding of many diseases. Proteomics is a rapidly growing research area that encompasses both genetic and environmental factors. The protein composition represents the functional status of a biological compartment. The five approaches presented here resulted in the detection of disease-associated proteins. Calgranulin B was upregulated in colorectal cancer, and hepatoma-derived aldose reductase-like protein was reexpressed in a rat model during hepatocarcinogenesis. In these two investigations, attention was focused on one protein, obviously differing in amount, directly after two-dimensional electrophoresis (2-DE). Additional methods, such as enzyme activity measurements and immunohistochemistry, confirmed the disease association of the two candidates resulting from 2-DE subtractive analysis. The following three investigations take advantage of the holistic potential of the 2-DE approach. The comparison of 2-DE patterns from dilated cardiomyopathy patients with those of controls revealed 25 statistically significant intensity differences, from which 12 were identified by amino acid analysis, Edman degradation or matrix-assisted laser desorption/ionization-mass spectrometry (MALDI-MS). A human myocardial 2-DE database was constructed, containing 3300 protein spots and 150 identified protein species. The number of identified proteins was limited by the capacity of our group, rather than by the principle of feasibility. Another field where proteomics proves to be a valuable tool in identifying proteins of importance for diagnosis is proteome analysis of pathogenic microorganisms such as Borrelia burgdorferi (Lyme disease) and Toxoplasma gondii (toxoplasmosis). Sera from patients with early or late symptoms of Lyme borreliosis contained antibodies of various classes against about 80 antigens each, containing the already described antigens OspA, B and C, flagellin, p83/100, and p39. Similarly, antibody reactivity to seven different marker antigens of T. gondii allowed differentiation between acute and latent toxoplasmosis, an important diagnostic tool in both pregnancy and immunosuppressed patients."
"119","Comparison of human COP9 signalsome and 26S proteasome lid'.","Henke, Ferrell, Bech-Otschir, Seeger, Schade, Jungblut, Naumann, Dubiel","1999","The human core COP9 signalosome consists of eight subunits which have been identified, cloned and sequenced. The components of COP9 signalosome possess homologies with eight non-ATPase regulatory subunits of the 26S proteasome. These polypeptides of the 19S regulator form a reversibly binding subcomplex called the 'lid'. We isolated the 'lid' from human red blood cells and compared it with the COP9 signalosome complex. In addition to the non-ATPase regulatory polypeptides, we found a high molecular mass ATPase copurifying with the human 'lid'. The COP9 signalosome-associated kinase activity is either not at all or only weakly affected by common kinase inhibitors such as 1-(5-Isoquinolinesulfonyl)-2-methyl-piperazine (H7), 5,6-dichloro-1-beta-D-ribofuranosyl-benzimidazole (DRB) or Wortmannin. Curcumin, a tumor suppressor and effector of AP-1 activation, is a potent inhibitor of the COP9 signalosome kinase activity with a Ki of about 10 microM. Since curcumin is known as an inhibitor of the c-Jun N-terminal kinase (JNK) signaling pathway acting upstream of the MAP kinase kinase kinase level, one site of action of the COP9 signalosome might be proximal to regulators on that level."
"120","The analysis of S100A9 and S100A8 expression in matched sets of macroscopically normal colon mucosa and colorectal carcinoma: the S100A9 and S100A8 positive cells underlie and invade tumor mass.","Stulík, Osterreicher, Koupilová, Knízek, Macela, Bures, Jandík, Langr, Dedic, Jungblut","1999","The expression of calcium-binding protein S100A9 was investigated in 23 matched sets of colorectal carcinoma and normal colon mucosa using two-dimensional gel electrophoresis. We found that, from a group of 23 patients, the level of S100A9 protein, in comparison with matched normal colon mucosa, was significantly increased in malignant tissues of 16 patients (70%). Furthermore, an additional protein, identified by matrix-assisted laser desorption/ionization - mass spectrometry (MALDI-MS) as S100A8, exhibited an increased expression in the same specimens of malignant tissues as the S100A9 protein. The immunohistological analysis revealed the accumulation of S100A9 positive cells, macrophages and polymorphonuclear leukocytes along the invasive margin of colorectal carcinoma. The S100A8 protein was found to be produced in the same location. The possible participation of both proteins and, especially, its heterodimeric complex calprotectin in colorectal carcinoma regression could be taken into account."
"121","A two-dimensional electrophoresis database of rat heart proteins.","Li, Pleissner, Scheler, Regitz-Zagrosek, Salnikow, Jungblut","1999","More than 3000 myocardial protein species of Wistar Kyoto rat, an important animal model, were separated by high-resolution two-dimensional gel electrophoresis (2-DE) and characterized in terms of isoelectric point (pI) and molecular mass (Mr). Currently, the 2-DE database contains 64 identified proteins; forty-three were identified by peptide mass fingerprinting (PMF) using matrix-assisted laser desorption/ionization mass spectrometry (MALDI-MS), nine by exclusive comparison with other 2-DE heart protein databases, and in only 12 cases of 60 attempts N-terminal sequencing was successful. We used the Make2ddb software package downloaded from the ExPASy server for the construction of a rat myocardial 2-DE database. The Make2ddb package simplifies the creation of a new 2-DE database if the Melanie II software and a Sun workstation under Solaris are available. Our 2-DE database of rat heart proteins can be accessed at URL http://gelmatching.inf.fu-berlin.de/pleiss/2d."
"122","Rapid identification of the new anabaenopeptin G from Planktothrix agardhii HUB 011 using matrix-assisted laser desorption/ionization time-of-flight mass spectrometry.","Erhard, von Döhren, Jungblut","1999","Toxic water blooms from cyanobacteria in lakes and rivers are a worldwide phenomenon. A new technique is presented for the rapid detection of toxic and nontoxic blooms. Matrix-assisted laser desorption/ionization time-of-flight mass spectrometry (MALDI-TOFMS) was employed to identify mainly peptide metabolites (microcystins, anabaenopeptins, cyanopeptolins, microviridins, microginins and aeruginosins) from microgram quantities of prepared cells within minutes. The spectra show the presence of peptides in strains or water blooms simultaneously. A new compound has been identified using the post source decay (PSD) and collision induced dissociation (CID) mode. This new compound has been defined as anabaenoeptin G. The potential of the method for screening of various secondary metabolite producers for defined products including antibiotics is discussed."
"123","Identification of mouse crystallins in 2D protein patterns by sequencing and mass spectrometry. Application to cataract mutants.","Jungblut, Otto, Favor, Löwe, Müller, Kastner, Sperling, Klose","1998","The eye lens proteins of the mouse were separated into 1940 polypeptide spots by two-dimensional electrophoresis in large gels. All 16 crystallins ubiquitous in mammals were identified by protein sequencing and mass spectrometry except for (gamma)-F, which shows an almost identical sequence with (gamma)-E. Two crystallins, (beta)-A2 and (gamma)-S, were shown for the first time to occur in the mouse lens. An investigation of the murine cataract mutant Cat2(nop)((gamma)-B gene) demonstrated that a monogenic mutation might affect a broad spectrum of proteins."
"124","Peptide mass fingerprint sequence coverage from differently stained proteins on two-dimensional electrophoresis patterns by matrix assisted laser desorption/ionization-mass spectrometry (MALDI-MS).","Scheler, Lamer, Pan, Li, Salnikow, Jungblut","1998","Identification of proteins separated by two-dimensional electrophoresis (2-DE) is a necessary task to overcome the purely descriptive character of 2-DE and a prerequisite to the construction of 2-DE databases in proteome projects. Matrix assisted laser desorption/ionization-mass spectrometry (MALDI-MS) has a sensitivity for peptide detection in the lower fmol range, which should be sufficient for an analysis of even weakly silver-stained protein spots by peptide mass fingerprinting. Unfortunately, proteins are modified by the silver staining procedure, leading to low sequence coverage. Omission of glutaraldehyde increased the sequence coverage, but this improved sequence coverage is still clearly below the sequence coverage starting with Coomassie Brilliant Blue (CBB) R-250-stained spots. Other factors additionally seem to modify proteins during silver staining. By decreasing the protein amount, the advantage of very sensitive detection on the gel is lost during identification, because the resulting low sequence coverage is not sufficient for secure identification. Low-quantity proteins can be identified better starting with CBB G-250 or Zn-imidazol-stained proteins. In contrast, for high-quantity CBB R-250-stained spots, a sequence coverage of up to 90% can be obtained by using only one cleaving enzyme, and up to 80% was reached for medium-quantity spots after combination of tryptic digest with Asp-N- and Glu-C digest."
"125","Identification of target cells by immunohistochemical detection of covalently rearranged estradiol in rehydrated paraffin sections.","Jungblut, Sierralta","1998","Estradiol is released from the binding niche of the receptor and covalently arrested in the molecular vicinity by the Mannich reaction during target fixation in acetic acid/formaldehyde. The exposed steroid is freely accessible for appropriate antibodies. It can be visualized in sections by the second antibody/enzyme technique in high resolution and without enhancements."
"126","Identification and characterization of heat shock protein 27 protein species in human myocardial two-dimensional electrophoresis patterns.","Scheler, Müller, Stahl, Müller-Werdan, Salnikow, Jungblut","1997","Immunostaining of heat shock protein 27 (Hsp27) protein species on two-dimensional electrophoresis (2-DE) gels with enhanced sensitivity yields 59 spots reacting with anti-Hsp27 antibodies. Recombinant Hsp27 exists in 2-DE as two major protein species which comigrate in the human myocardial pattern with Hsp27 spots C754 and D899 as defined in the heart high-performance 2-DE database (http://www.mdc-berlin.de/emu/heart/). Preparative electrophoresis of human myocardial proteins and analysis of the enriched mass range 20-30 kDa by 2-DE revealed eight protein spots (C438, C582, C658, C697, C754, C595, C750) from the human myocardial database and a new spot not previously detected on silver-stained gels. These spots were identified as Hsp27 protein species by enzymatic in-gel-digestion and analysis by matrix assisted laser desorption-ionization (MALDI) peptide mass fingerprinting and, in part, MALDI-post source decay sequencing of single fragments. Possible post-translational modifications were investigated: immunostaining tests with anti-phospho-serine/-threonine/-tyrosine antibodies, although positive for other myocardial proteins, were negative for presumed Hsp27 protein species; likewise, periodate-glycostaining assays and biotinylation screening did not detect modifications in the investigated Hsp27 protein species."
"127","Tumor necrosis factor alpha (TNF alpha) is cardiodepressant in pathophysiologically relevant concentrations without inducing inducible nitric oxide-(NO)-synthase (iNOS) or triggering serious cytotoxicity.","Müller-Werdan, Schumann, Fuchs, Reithmann, Loppnow, Koch, Zimny-Arndt, He, Darmer, Jungblut, Stadler, Holtz, Werdan","1997","Cardiac hypertrophy and heart failure are frequently accompanied by elevated plasma levels of tumor necrosis factor alpha (TNF alpha), the pathogenetic relevance of this finding being a matter of debate. In human acute septic cardiomyopathy, on the other hand, the negative inotropic impact of TNF alpha on the heart is well documented and frequently ascribed to the induction of inducible nitric oxide (NO) synthase (iNOS) and an enhanced production of NO in the heart. Yet the present study presents evidence that in cardiomyocytes TNF alpha in non-toxic concentrations specifically depresses contractile performance independent of NO. In spontaneously beating neonatal rat cardiomyocytes, TNF alpha in a low, pathophysiologically relevant concentration (10 U/ml, 1-3 days) does not alter basal pulsation amplitude, but blocks alpha- and beta-adrenoceptor-stimulated increase in contractility and beating irregularity and impairs the impact of high extracellular calcium on contractile performance. However, this low TNF alpha-concentration does not suffice to induce iNOS - documented by reverse transcriptase polymerase chain reaction - or enhance nitrite concentrations in the cell culture supernatants as a measure of cellular NO production, neither in the presence nor absence of dexamethasone (0.1 micro M). Only in high concentration - the specific proinflammatory action being documented by an enhanced release of interleukin-6 from cardiomyocytes - TNF alpha (1000 U/mol; 6, 24 h) weakly induces the mRNA for iNOS, with a consecutive moderate rise in cellular nitrite production. TNF alpha-incubation (10-1000 U/ml) does not alter the morphological appearance of the cells displayed by phase contrast microscopy or evoke gross cytotoxicity."
"128","The ease of peptide detection by matrix-assisted laser desorption/ionization mass spectrometry: the effect of secondary structure on signal intensity.","Wenschuh, Halada, Lamer, Jungblut, Krause","1998","Several structurally well-characterized model peptides were used to examine the relationship between peptide structure and signal intensity in matrix-assisted laser desorption/ionization mass spectrometry (MALDI-MS). It was found that peptides displaying stable alpha-helical and beta-sheet structures show lower signal intensities than the corresponding analogs having disturbed secondary structures caused by substitution of two adjacent amino acids by their D isomers. Since such substitutions do not affect properties other than the secondary structure propensity, the differences observed are ascribed to this phenomenon or some related effect such as association. The results indicate that the formation of stable secondary structures in peptides may be a possible source of incomplete peptide mass fingerprints resulting from protein digestion and for difficulties in the quantitative evaluation of peptide mixtures via MALDI-MS."
"129","Overexpression of calcium-binding protein calgranulin B in colonic mucosal diseases.","Stulík, Kovárová, Macela, Bures, Jandík, Langr, Otto, Thiede, Jungblut","1997","Subtractive two-dimensional gel electrophoresis (2-DE) has been used for the study of the protein patterns of the normal colonic mucosa and the specimens collected from patients diagnosed for inflammatory bowel disease (IBD), colonic polyps and colorectal cancer. We found a 13 kDa protein that was detected in five of seven adenomas and in 13 of 15 colorectal carcinomas while it was absent or only slightly expressed in normal colonic mucosa. Furthermore, this protein occurred in all specimens collected from patients suffering from IBD and its quantity reflected the increased severity of inflammation. The combination of microsequencing and mass spectrometry led to the identification of the 13 kDa spot as calgranulin B. Our results indicate that the production of calgranulin B is unregulated in inflammatory, preneoplastic and neoplastic lesions of colonic mucosa."
"130","Rapid typing and elucidation of new secondary metabolites of intact cyanobacteria using MALDI-TOF mass spectrometry.","Erhard, von Döhren, Jungblut","1997","Toxic cyanobacterial blooms are a threat because of secondary metabolite production. We used matrix-assisted laser desorption/ionization time-of-flight mass spectrometry to identify intact microorganisms. Microgram quantities of prepared cells, including solvent (acetonitrile and ethanol) and alpha-cyano-4-hydroxycinnamic acid matrix, display spectra showing predominantly the secondary metabolites including known microcystins, micropeptin, and anabaenopeptolin. A new cyclic anabaenopeptolin has been identified using the Post-Source-Decay mode. Strains of various origins can easily be typed according to their cyclic peptide production, and toxic and nontoxic algal blooms can be differentiated within minutes."
"131","Penicillin biosynthesis: intermediates of biosynthesis of delta-L-alpha-aminoadipyl-L-cysteinyl-D-valine formed by ACV synthetase from Acremonium chrysogenum.","Kallow, Neuhof, Arezi, Jungblut, von Döhren","1997","The tripeptide delta-L-alpha-aminoadipyl-L-cysteinyl-D-valine (LLD-ACV) is synthesised by the multifunctional enzyme ACV synthetase integrating four steps of the penicillin and cephalosporin biosynthetic pathway. Peptide synthesis follows the thiotemplate mechanism from intermediates bound as thioesters to the enzyme. The formation of delta-(L-alpha-aminoadipyl)-L-cysteinyl-thioester in the absence of L-valine was shown by isolation of the enzyme-substrate complex and cleavage of the covalently bound intermediate with performic acid. The dipeptide was recovered as cysteic acid or cysteic acid oxime and detected by HPLC and MALDI-TOF mass spectrometry. We conclude that the first peptide bond is formed between delta-carboxyl of L-aminoadipic acid and L-cysteine, followed by addition of the dipeptidyl intermediate to L-valine."
